user,entry,valid
842486536440381482,17,1
839032901067866142,17,1
839072487839891456,17,1
845308568847515658,17,1
842519988760739840,17,1
822908502321922048,17,1
822904180427194408,17,1
822688761149390859,17,1
837523996580249641,17,1
852660743879000156,18,1
852651429817614347,18,1
852664429296353320,18,1
852659690067329126,18,1
852243913800155156,18,1
852258071740153878,18,1
810633860211539969,18,1
850188912911187969,18,1
850907364180754502,18,1
851907508586020904,18,1
850968538083754014,18,1
850956290883715092,18,1
850190553223135272,18,1
850186956796985404,18,1
850192360243462224,18,1
850156252713451551,18,1
842070436779130951,18,1
848561839616688169,18,1
842581002908205057,18,1
847584628361527297,18,1
848018133695856690,18,1
847895920321757215,18,1
847997481753247824,18,1
847698608450830356,18,1
849163530003152917,19,1
849163336448081960,19,1
849163235264561192,19,1
849163149953204246,19,1
849163093149351976,19,1
849162905646661681,19,1
849162780954853386,19,1
849162764219580456,19,1
849162729624698880,19,1
849162540336021544,19,1
849162503359561728,19,1
849161958779125770,19,1
849161939732135938,19,1
849161881075449876,19,1
849161630302601256,19,1
849161458859769857,19,1
849150791847247892,19,1
849150896393814056,19,1
849150800797630475,19,1
849150398966530059,19,1
849150340582735903,19,1
849150146063237121,19,1
849149934754332704,19,1
849149889706197002,19,1
849149701743050782,19,1
849149441013317692,19,1
849149157708791848,19,1
849148968524316714,19,1
849148117366472744,19,1
849148089116786718,19,1
601279887839592458,20,1
601285346486911027,20,1
601421998589214733,20,1
601433013024194563,20,1
601450114518876179,20,1
601458049022033930,20,1
601516575924682771,20,1
601517760308314162,20,1
601530866602082324,20,1
601569490848972810,20,1
602166689374798010,20,1
602230991494447116,20,1
602290429014048768,20,1
602502663225081857,20,1
605571802676068353,20,1
605576333145276467,20,1
605577217522532372,20,1
605590849996455967,20,1
605591706045382658,20,1
606646497685274658,20,1
606647490472575016,20,1
606651588521754644,20,1
606653912706973697,20,1
623314830706606100,20,1
623995795129237504,20,1
634499073524891658,20,1
639314135284318228,20,1
655105128906358787,20,1
696824981220491315,20,1
700158961059495977,20,1
706907289877217300,20,1
707320491559354480,20,1
710181673366716426,20,1
715476450177843241,20,1
718783986670764104,20,1
721036830971002921,20,1
723980618693738498,20,1
726599458296561714,20,1
728023014834438244,20,1
734520664144478232,20,1
735965831749435533,20,1
743493381803606057,20,1
743498761464053760,20,1
743511512135499926,20,1
743514493744709762,20,1
